0.000,41.000,53.700,0.000,0.000,0.003,
0.100,43.300,54.400,1.000,0.033,0.039,
0.200,38.000,54.600,1.000,0.139,0.156,
0.300,37.000,50.000,2.000,0.258,0.292,
0.400,35.500,32.600,2.000,0.381,0.425,
0.500,34.800,56.100,3.000,0.511,0.567,
0.600,34.900,55.400,3.000,0.625,0.689,
0.700,34.900,56.700,4.000,0.742,0.822,
0.800,34.000,57.200,4.000,0.858,0.956,
0.900,33.400,57.600,4.000,0.978,1.086,
1.000,32.100,41.600,5.000,1.089,1.208,
1.100,32.100,58.600,5.000,1.197,1.328,
1.200,32.100,59.000,6.000,1.314,1.456,
1.300,32.000,59.900,7.000,1.422,1.581,
1.400,30.800,60.500,8.000,1.531,1.706,
1.500,30.200,61.400,9.000,1.644,1.836,
1.600,29.400,63.000,11.000,1.750,1.964,
1.700,28.800,63.200,11.000,1.858,2.092,
1.800,26.700,63.500,9.000,1.978,2.222,
1.900,25.900,64.900,7.000,2.094,2.347,
2.000,25.100,64.300,4.000,2.208,2.464,
2.100,23.600,65.100,2.000,2.319,2.589,
2.200,23.500,64.400,1.000,2.425,2.706,
2.300,22.900,65.300,1.000,2.533,2.836,
2.400,22.000,65.800,2.000,2.647,2.975,
2.500,21.900,66.600,3.000,2.750,3.100,
2.600,21.300,67.000,3.000,2.853,3.222,
2.700,20.400,42.000,3.000,2.967,3.353,
2.800,20.300,68.700,4.000,3.067,3.472,
2.900,19.500,40.100,4.000,3.172,3.600,
3.000,19.500,69.300,4.000,3.281,3.722,
3.100,19.500,70.500,4.000,3.394,3.861,
3.200,19.500,72.200,4.000,3.489,3.975,
3.300,19.500,74.400,3.000,3.597,4.106,
3.400,16.200,74.000,0.000,3.714,4.242,
3.500,16.200,74.400,-2.000,3.819,4.364,
3.600,14.900,73.600,-4.000,3.914,4.478,
3.700,14.500,74.400,-5.000,4.019,4.606,
3.800,14.700,74.800,-5.000,4.119,4.731,
3.900,14.300,75.000,-5.000,4.225,4.869,
4.000,13.000,75.000,-4.000,4.325,4.997,
4.100,13.500,75.000,-4.000,4.425,5.128,
4.200,13.000,75.600,-4.000,4.522,5.253,
4.300,12.800,75.700,-4.000,4.622,5.381,
4.400,12.800,76.500,-6.000,4.725,5.508,
4.500,12.600,76.500,-8.000,4.836,5.644,
4.600,11.300,77.400,-10.000,4.933,5.767,
4.700,11.400,77.000,-12.000,5.039,5.897,
4.800,11.400,77.200,-13.000,5.142,6.025,
4.900,11.800,77.400,-14.000,5.253,6.161,
5.000,11.300,77.400,-13.000,5.353,6.286,
5.100,11.200,79.400,-12.000,5.447,6.414,
5.200,10.900,77.300,-12.000,5.544,6.536,
5.300,11.400,78.200,-13.000,5.656,6.667,
5.400,11.400,77.000,-13.000,5.753,6.786,
5.500,10.700,76.500,-12.000,5.858,6.919,
5.600,10.300,76.500,-10.000,5.956,7.047,
5.700,11.200,77.200,-9.000,6.056,7.175,
5.800,10.300,77.800,-8.000,6.164,7.308,
5.900,11.200,79.200,-7.000,6.261,7.433,
6.000,12.100,78.600,-4.000,6.364,7.567,
6.100,9.400,78.000,-2.000,6.458,7.692,
6.200,10.300,77.900,0.000,6.553,7.814,
6.300,12.200,78.800,2.000,6.656,7.950,
6.400,8.600,79.600,4.000,6.756,8.075,
6.500,9.400,80.400,6.000,6.858,8.200,
6.600,11.200,81.400,9.000,6.956,8.322,
6.700,11.200,82.500,13.000,7.053,8.450,
6.800,11.200,84.100,17.000,7.147,8.572,
6.900,11.200,85.300,20.000,7.242,8.703,
